sku,model_number,name,category,msrp,final_price,description,bullet_features,uri,release_date,in_stock
34WK95U-W,MD05913936,34 Inch Class 21:9 UltraWide® 5K2K Nano IPS LED Monitor with HDR 600 (34 Inch Diagonal),"[""b2c"", ""computing"", ""monitors"", ""ultrawide""]",1499.99,1499.9900,LG 34'' Class 21:9 UltraWide™ 5K2K Nano IPS LED Monitor with HDR 600 - 34WK95U-W - Seriously professional - Thunderbolt™ 3 - 4-Side Virtually Borderless Design - DCI-P3 98%,"[{""priority"": ""1"", ""bullet_feature"": ""34\"" UltraWide® Nano IPS Display""}, {""priority"": ""2"", ""bullet_feature"": ""5K2K WUHD (5120 x 2160) Resolution""}, {""priority"": ""3"", ""bullet_feature"": ""Thunderbolt™ 3""}, {""priority"": ""4"", ""bullet_feature"": ""DCI-P3 98%""}, {""priority"": ""5"", ""bullet_feature"": ""HDR Support""}, {""priority"": ""6"", ""bullet_feature"": ""4-Side Virtually Borderless Design""}]",https://lg.com/us/monitors/lg-34wk95u-w-ultrawide-monitor,2020-03-13T00:00:00+00:00,Y
SK1,MD05950636,LG SK1 2.0 Channel Compact Sound Bar with Bluetooth® Connectivity,"[""audio"", ""b2c"", ""sound_bars""]",99.99,99.9900,Enjoy favorite movies like never before with the LG SK1 Sound Bar.,"[{""priority"": ""1"", ""bullet_feature"": ""Compact Design""}, {""priority"": ""2"", ""bullet_feature"": ""Bluetooth Streaming""}, {""priority"": ""3"", ""bullet_feature"": ""TV Remote Compatibility""}]",https://lg.com/us/soundbars/lg-sk1-soundbar,2020-04-25T00:00:00+00:00,Y
CK99,MD05982137,LG XBOOM Hi-Fi Entertainment System with Karaoke Creator,"[""audio"", ""b2c"", ""party_speakers"", ""speakers""]",1299.99,1299.9900,"LG XBOOM 5000W Hi-Fi Entertainment System with Karaoke Creator - CK99 - This powerful system pumps out thumping, thunderous low-end from its mighty 15"" woofer - DJ Effects","[{""priority"": ""1"", ""bullet_feature"": ""DJ Effects""}, {""priority"": ""2"", ""bullet_feature"": ""Multi-Color Party Lighting""}, {""priority"": ""3"", ""bullet_feature"": ""Karaoke Creator""}]",https://lg.com/us/speakers/lg-ck99-mini-shelf-stereo-system,2020-04-22T00:00:00+00:00,Y
27GL850-B,MD06064916,LG 27GL850 27 Inch UltraGear™ 1440P Nano IPS 1ms Gaming Monitor with G-Sync® Compatibility,"[""b2c"", ""computing"", ""monitors"", ""ultragear""]",349.99,349.9900,LG 27'' UltraGear™ Nano IPS 1ms Gaming Monitor with G-Sync® Compatibility - 27GL850-B - Your dream gaming monitor - Adaptive-Sync (FreeSync™) - 144Hz refresh rate - HDR10,"[{""priority"": ""1"", ""bullet_feature"": ""Nano IPS 1ms response time""}, {""priority"": ""2"", ""bullet_feature"": ""27” QHD (2560 x 1440) Nano IPS Display""}, {""priority"": ""3"", ""bullet_feature"": ""NVIDIA® G-SYNC® Compatible""}, {""priority"": ""4"", ""bullet_feature"": ""Adaptive-Sync (FreeSync™)""}, {""priority"": ""5"", ""bullet_feature"": ""144Hz refresh rate""}, {""priority"": ""6"", ""bullet_feature"": ""HDR 10""}]",https://lg.com/us/monitors/lg-27gl850-b-gaming-monitor,2021-05-24T00:00:00+00:00,Y
HU70LA,MD07000362,LG HU70LA 4K UHD LED Smart Home Theater CineBeam Projector – White,"[""b2c"", ""projectors"", ""tv_and_home_theater""]",1499.99,1499.9900,"LG 4K UHD LED Smart Home Theater CineBeam Projector (White) - HU70LA - Home cinema dreams become reality - Up to 140"" Display - Up to 1500 ANSI Lumens Brightness - HDR10","[{""priority"": ""1"", ""bullet_feature"": ""4K UHD (3840 x 2160) Resolution""}, {""priority"": ""2"", ""bullet_feature"": ""Up to 1500 ANSI Lumens Brightness""}, {""priority"": ""3"", ""bullet_feature"": ""Up to 140” Display""}, {""priority"": ""4"", ""bullet_feature"": ""IP Control""}, {""priority"": ""5"", ""bullet_feature"": ""HDR10 & TruMotion""}, {""priority"": ""6"", ""bullet_feature"": ""LG ThinQ AI | Google Assistant | Alexa""}]",https://lg.com/us/projectors/lg-hu70la-4k-projector,2020-12-31T00:00:00+00:00,Y
27ML600M-B,MD07500133,27 Inch FHD IPS 3-Side Borderless Monitor with Dual HDMI,"[""b2c"", ""b2c_fhd_monitors"", ""computing"", ""monitors""]",169.99,169.9900,"LG 27"" FHD IPS 3-Side Borderless Monitor with Dual HDMI - 27ML600M-B - IPS monitors help keep colors consistent at virtually any angle - Radeon FreeSync™ - On Screen Control","[{""priority"": ""1"", ""bullet_feature"": ""27” FHD (1920x1080) IPS Display""}, {""priority"": ""2"", ""bullet_feature"": ""3-Side Virtually Borderless Design""}, {""priority"": ""3"", ""bullet_feature"": ""Radeon FreeSync™ Technology""}, {""priority"": ""4"", ""bullet_feature"": ""Dual HDMI""}, {""priority"": ""5"", ""bullet_feature"": ""Color Calibrated""}, {""priority"": ""6"", ""bullet_feature"": ""OnScreen Control""}]",https://lg.com/us/monitors/lg-27ml600m-b-led-monitor,2021-03-01T00:00:00+00:00,Y
AKB75455602,MD07500493,"Full Function Standard TV Remote Control Replacement For AN-MR500, AN-MR600, AN-MR650","[""b2c"", ""tv_and_home_theater"", ""tv_and_home_theater_accessories""]",68.24,68.2400,LG TV Replacement Remote,"[{""priority"": ""1"", ""bullet_feature"": ""Replacement for older AN-MR500, AN-MR600, AN-MR650""}]",https://lg.com/us/tv-audio-video-accessories/lg-akb75455602-tv-remote-control,2020-07-28T00:00:00+00:00,Y
32MN600P-B,MD07500691,31.5 Inch Full HD IPS Monitor with AMD FreeSync™,"[""b2c"", ""b2c_fhd_monitors"", ""computing"", ""monitors""]",249.99,249.9900,"LG 32"" Full HD IPS Monitor with AMD FreeSync™ - 32MN600P-B - True color at wide viewing angles - Wall Mountable - On Screen Control - Reader Mode - Flicker Safe","[{""priority"": ""1"", ""bullet_feature"": ""Full HD (1920 x 1080) IPS Display""}, {""priority"": ""2"", ""bullet_feature"": ""AMD FreeSync™""}, {""priority"": ""3"", ""bullet_feature"": ""Reader Mode""}, {""priority"": ""4"", ""bullet_feature"": ""Flicker Safe""}, {""priority"": ""5"", ""bullet_feature"": ""OnScreen Control""}, {""priority"": ""6"", ""bullet_feature"": ""Wall Mountable""}]",https://lg.com/us/monitors/lg-32mn600p-b-led-monitor,2020-06-08T00:00:00+00:00,Y
32MN50W-B,MD07500694,31.5 Inch Full HD IPS Monitor with AMD FreeSync™,"[""b2c"", ""b2c_fhd_monitors"", ""computing"", ""monitors""]",179.99,179.0000,"LG 32"" Full HD IPS Monitor with AMD FreeSync™ - 32MN50W-B - True color at wide viewing angles - Wall Mountable - On Screen Control - Reader Mode - Flicker Safe","[{""priority"": ""1"", ""bullet_feature"": ""Full HD (1920 x 1080) IPS Display""}, {""priority"": ""2"", ""bullet_feature"": ""AMD FreeSync™""}, {""priority"": ""3"", ""bullet_feature"": ""Reader Mode""}, {""priority"": ""4"", ""bullet_feature"": ""Flicker Safe""}, {""priority"": ""5"", ""bullet_feature"": ""OnScreen Control""}, {""priority"": ""6"", ""bullet_feature"": ""Wall Mountable""}]",https://lg.com/us/monitors/lg-32mn50w-b-led-monitor,2020-06-04T00:00:00+00:00,Y
HU70LAB,MD07501101,LG HU70LAB 4K UHD LED Smart Home Theater CineBeam Projector – Black,"[""b2c"", ""projectors"", ""tv_and_home_theater""]",1499.99,1499.9900,"LG 4K UHD LED Smart Home Theater CineBeam Projector (Black) - HU70LAB - Home cinema dreams become reality - Up to 140"" Display - Up to 1500 ANSI Lumens Brightness - HDR10","[{""priority"": ""1"", ""bullet_feature"": ""4K UHD (3840 x 2160) Resolution""}, {""priority"": ""2"", ""bullet_feature"": ""Up to 1500 ANSI Lumens Brightness""}, {""priority"": ""3"", ""bullet_feature"": ""Up to 140” Display""}, {""priority"": ""4"", ""bullet_feature"": ""IP Control""}, {""priority"": ""5"", ""bullet_feature"": ""HDR10 & TruMotion""}, {""priority"": ""6"", ""bullet_feature"": ""LG ThinQ AI | Google Assistant | Alexa""}]",https://lg.com/us/projectors/lg-hu70lab-4k-projector,2020-11-29T00:00:00+00:00,Y
